agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips
New York City Police Department,Local police department,36023, , , , , ,"One Police Plaza, Room 1400", , ,New York,NY,New York,10038, , , , ,36061
Chicago Police Dept,Local police department,13354, , , , , ,3510 S Michigan, , ,Chicago,IL,Cook,60653, , , , ,17031
Los Angeles Police Department,Local police department,9727, , , , , ,150 N. Los Angeles Street, , ,Los Angeles,CA,Los Angeles,90012, , , , ,6037
Los Angeles County Sheriff's Office,Sheriff's office,9461, , , , , ,Unit 1,4700 W. Ramona Blvd., ,Monterey Park,CA,Los Angeles,91754, , , , ,6037
California Highway Patrol,Primary state law enforcement agency,7202, , , , , ,2555 First Ave, , ,Sacramento,CA,Sacramento,95818, , , , ,6067
Philadelphia Police Department,Local police department,6624, , , , , ,523 Main Street, , ,Philadelphia,PA,Philadelphia,19136, , , , ,42101
Cook County Sheriff's Office,Sheriff's office,5655, , , , , ,143 Gunflint Trail, , ,Chicago,IL,Cook,60602, , , , ,17031
Houston Police Department,Local police department,5053, , , , , ,17000 Aldine Westfield, , ,Houston,TX,Harris,77073, , , , ,48201
New York State Police,Primary state law enforcement agency,4847, , , , , ,Building 22,1220 Washington Avenue, ,Albany,NY,Albany,12226, , , , ,36001
Pennsylvania State Police,Primary state law enforcement agency,4458, , , , , ,1800 Elmerton Ave, , ,Harrisburg,PA,Dauphin,17110, , , , ,42043
Washington Metropolitan Police Department,Local police department,3742, , , , , ,300 Indiana Avenue NW, , ,Washington,DC,District of Columbia,20001, , , , ,11001
Texas Department of Public Safety,Primary state law enforcement agency,3529, , , , , ,"Attn: Cindy Torres, Hr",P O Box 4087, ,Austin,TX,Travis,78773, , , , ,48453
Dallas Police Department,Local police department,3389, , , , , ,131 N. Gaston Avenue, , ,Dallas,TX,Dallas,75215, , , , ,48113
Phoenix Police Department,Local police department,3388, , , , , ,Po Box 330, , ,Phoenix,AZ,Maricopa,85003, , , , ,4013
Miami-Dade (County) Police Department,Local police department,3093, , , , , ,9105 N.W. 25Th Street, , ,Miami,FL,Miami-Dade,33172, , , , ,12086
New Jersey State Police,Primary state law enforcement agency,3053, , , , , ,P.O. Box 7068; River Road, , ,West Trenton,NJ,Mercer,8628, , , , ,34021
Baltimore Police Department,Local police department,2990, , , , , ,416 West Market Street, , ,Baltimore,MD,Baltimore City,21211, , , , ,24510
Las Vegas Metro Police Department,Local police department,2942, , , , , ,3141 Sunrise Ave, , ,Las Vegas,NV,Clark,89101, , , , ,32003
Nassau County Police Department,Local police department,2732, , , , , ,1490 Franklin Avenue, , ,Mineola,NY,Nassau,11501, , , , ,36059
Suffolk County Police Department,Local police department,2622, , , , , ,30 Yaphank Avenue, , ,Yaphank,NY,Suffolk,11980, , , , ,36103
Harris County Sheriff's Office,Sheriff's office,2558, , , , , ,1200 Baker St, , ,Houston,TX,Harris,77002, , , , ,48201
Massachusetts State Police,Primary state law enforcement agency,2310, , , , , ,470 Worcester Rd, , ,Framingham,MA,Middlesex,1701, , , , ,25017
Detroit Police Department,Local police department,2250, , , , , ,1300 Beaubien, , ,Detroit,MI,Wayne,48226, , , , ,26163
Boston Police Department,Local police department,2181, , , , , ,1 Schroeder Plaza, , ,Boston,MA,Suffolk,2120, , , , ,25025
Riverside County Sheriff's Office,Sheriff's office,2147, , , , , ,4095 Lemon St Fl 2,PO Box 512, ,Riverside,CA,Riverside,92501, , , , ,6065
Illinois State Police,Primary state law enforcement agency,2105, , , , , ,Po Box 19461, , ,Springfield,IL,Sangamon,62794, , , , ,17167
San Antonio Police Department,Local police department,2020, , , , , ,214 W. Nueva St., , ,San Antonio,TX,Bexar,78207, , , , ,48029
Milwaukee Police Department,Local police department,1987, , , , , ,749 West State Street,P.O. Box 531, ,Milwaukee,WI,Milwaukee,53201, , , , ,55079
San Diego Police Department,Local police department,1951, , , , , ,404 South Mier, , ,San Diego,CA,San Diego,92101, , , , ,6073
San Francisco Police Department,Local police department,1940, , , , , ,Suite 475,850 Bryant Street, ,San Francisco,CA,San Francisco,94103, , , , ,6075
Honolulu (City and County) Police Department,Local police department,1934, , , , , ,801 South Beretania Street, , ,Honolulu,HI,Honolulu,96813, , , , ,15003
Baltimore County Police Department,Local police department,1910, , , , , ,700 E. Joppa Rd, , ,Towson,MD,Baltimore,21286, , , , ,24005
Columbus Police Department,Local police department,1886, , , , , ,300 E Maple, , ,Columbus,OH,Franklin,43215, , , , ,39049
Virginia State Police,Primary state law enforcement agency,1873, , , , , ,7700 Midlothian Turnpike, , ,Richmond,VA,Chesterfield,23235, , , , ,51041
North Carolina State Highway Patrol,Primary state law enforcement agency,1827, , , , , ,Archdale Building, , ,Raleigh,NC,Wake,27611, , , , ,37183
San Bernardino County Sheriff's Office,Sheriff's office,1797, , , , , ,655 E 3Rd St, , ,San Bernardino,CA,San Bernardino,92415, , , , ,6071
Orange County Sheriff-Coroner Department,Sheriff's office,1794, , , , , ,Po Box 449,550 N Flower St, ,Santa Ana,CA,Orange,92702, , , , ,6059
Michigan State Police,Primary state law enforcement agency,1732, , , , , ,714 South Harrison Rd, , ,East Lansing,MI,Ingham,48823, , , , ,26065
Atlanta Police Department,Local police department,1719, , , , , ,"675 Ponce De Leon, 9Th Floor", , ,Atlanta,GA,Fulton,30308, , , , ,13121
Charlotte - Mecklenburg Police Department,Local police department,1672, , , , , ,601 East Trade Street, , ,Charlotte,NC,Mecklenburg,28202, , , , ,37119
