agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips
San Antonio Park Rangers,Special jurisdiction,112, , , , , ,600 Hemisfair Park  No. 337, , ,San Antonio,TX,Bexar,78205, , , , ,48029
College Station Police Department,Local police department,112, , , , , ,2611 Texas Avenue, , ,College Station,TX,Brazos,77842, , , , ,48041
Kingsport Police Department,Local police department,111, , , , , ,200 Shelby St., , ,Kingsport,TN,Sullivan,37660, , , , ,47163
Dorchester County Sheriff's Office,Sheriff's office,111, , , , , ,100 Sears St, , ,Saint George,SC,Dorchester,29477, , , , ,45035
Edinburg Police Department,Local police department,110, , , , , ,100 E. Freddy Gonzalez Drive,1702 S. CLOSNER BLVD, ,Edinburg,TX,Hidalgo,78539, , , , ,48215
Calvert County Sheriff's Office,Sheriff's office,110, , , , , ,30 Church St, , ,Prince Frederick,MD,Calvert,20678, , , , ,24009
North Richland Hills Police Department,Local police department,109, , , , , ,7301 Northeast Loop 820, , ,North Richland Hills,TX,Tarrant,76180, , , , ,48439
Florence Police Department,Local police department,109, , , , , ,8100 Ewing Blvd., , ,Florence,SC,Florence,29501, , , , ,45041
North Carolina Alcohol Law Enforcement,Special jurisdiction,108, , , , , ,4704 Mail Service Ctr., , ,Raleigh,NC,Wake,27699, , , , ,37183
Ocean City Police Department,Local police department,107, , , , , ,6501 Coastal Highway, , ,Ocean City,MD,Worcester,21842, , , , ,24047
Sumter Police Department,Local police department,107, , , , , ,107 E. Hampton Ave., , ,Sumter,SC,Sumter,29150, , , , ,45085
Cameron County Sheriff's Office,Sheriff's office,107, , , , , ,20 E 5Th St,Courthouse, ,Olmito,TX,Cameron,78575, , , , ,48061
Harnett County Sheriff's Office,Sheriff's office,106, , , , , ,Po Box 399, , ,Lillington,NC,Harnett,27546, , , , ,37085
Allen Police Department,Local police department,106, , , , , ,P. O. Box 402, , ,Allen,TX,Collin,75013, , , , ,48085
Victoria Police Department,Local police department,106, , , , , ,P.O. Box V, , ,Victoria,TX,Victoria,77901, , , , ,48469
Vermilion Parish Sheriff's Office,Sheriff's office,106, , , , , ,Po Box 307,101 South State St, ,Abbeville,LA,Vermilion,70511, , , , ,22113
Jackson Parish Sheriff's Office,Sheriff's office,105, , , , , ,500 E Court St Rm 100, , ,Jonesboro,LA,Jackson,71251, , , , ,22049
Acadia Parish Sheriff's Office,Sheriff's office,105, , , , , ,1037 Capitol Ave,PO Box 289, ,Crowley,LA,Acadia,70527, , , , ,22001
Hagerstown Police Department,Local police department,105, , , , , ,50 N. Burhans Blvd., , ,Hagerstown,MD,Washington,21740, , , , ,24043
Burlington Police Department,Local police department,105, , , , , ,"311 Cedar Street, Suite B", , ,Burlington,NC,Alamance,27216, , , , ,37001
Bartlett Police Department,Local police department,105, , , , , ,56 Town Hall Road, , ,Bartlett,TN,Shelby,38133, , , , ,47157
Onslow County Sheriff's Office,Sheriff's office,104, , , , , ,701 Mill Ave, , ,Jacksonville,NC,Onslow,28540, , , , ,37133
South Carolina State Transport Police,Special jurisdiction,103, , , , , ,10311 Wilson Blvd, , ,Blythewood,SC,Richland,29016, , , , ,45079
Oro Valley Police Department,Local police department,103, , , , , ,11000 North La Canada Drive, , ,Oro Valley,AZ,Pima,85737, , , , ,4019
Maryland National Capital Park Police - Prince George's County,Special jurisdiction,102, , , , , ,6700 Riverdale Road, , ,Riverdale,MD,Prince Georges,20737, , , , ,24033
Goldsboro Police Department,Local police department,101, , , , , ,Po Drawer A, , ,Goldsboro,NC,Wayne,27533, , , , ,37191
Avondale Police Department,Local police department,101, , , , , ,11485 W Civic Center Drive, , ,Avondale,AZ,Maricopa,85323, , , , ,4013
Franklin Parish Sheriff's Office,Sheriff's office,100, , , , , ,6556 Main St, , ,Winnsboro,LA,Franklin,71295, , , , ,22041
Pickens County Sheriff's Office,Sheriff's office,99, , , , , ,"2985 Camp Rd, Ste 100", , ,Pickens,SC,Pickens,29671, , , , ,45077
