agency_type,(All),,,,
addr1,(All),,,,
county,(All),,,,
,,,,,
Row Labels,agency_name,city,state,zip,Sum of company
Berkeley County Sheriff's Office,Beaufort County Sheriff's Office,Beaufort,SC,29902,0
,Berkeley County Sheriff's Office,Moncks Corner,SC,29461,0
,Charleston County Sheriff's Office,Charleston,SC,29405,0
,Charleston Police Department,Charleston,SC,29403,0
,Columbia Police Department,Columbia,SC,29201,0
,Florence County Sheriff's Office,Effingham,SC,29541,0
,Horry County Police Department,Conway,SC,29526,0
,Lexington County Sheriff's Office,Lexington,SC,29071,0
,Mount Pleasant Police Department,Mount Pleasant,SC,29464,0
,Myrtle Beach Police Department,Myrtle Beach,SC,29577,0
,North Charleston Police Department,North Charleston,SC,29419,0
,Richland County Sheriff's Office,Columbia,SC,29223,0
,Savannah-Chatham Metropolitan Police Department,Savannah,GA,31412,0
,South Carolina Department of Natural Resources,Columbia,SC,29202,0
,South Carolina Highway Patrol,Blythewood,SC,29016,0
,South Carolina Law Enforcement Division,Columbia,SC,29221,0
,Sumter County Sheriff's Office,Sumter,SC,29150,0
Berkeley County Sheriff's Office Count,,,,,17
Blytheville Police Department,Jackson Police Department,Jackson,TN,38301,0
,Jonesboro Police Department,Jonesboro,AR,72401,0
,Memphis Police Department,Memphis,TN,38103,0
,Shelby County Sheriff's Office,Memphis,TN,38103,0
Blytheville Police Department Count,,,,,4
Franklin County Sheriff's Office,Alamance County Sheriff's Office,Graham,NC,27253,0
,Cary Police Department,Cary,NC,27512,0
,Chapel Hill Police Department,Chapel Hill,NC,27514,0
,Chesterfield County Police Department,Chesterfield,VA,23832,0
,Chesterfield County Sheriff's Office,Chesterfield,VA,23832,0
,Cumberland County Sheriff's Office,Fayetteville,NC,28301,0
,Danville Police Department,Danville,VA,24543,0
,Durham County Sheriff's Office,Durham,NC,27702,0
,Durham Police Department,Durham,NC,27701,0
,Fayetteville Police Department,Fayetteville,NC,28301,0
,Greensboro Police Department,Greensboro,NC,27402,0
,Greenville Police Department,Greenville,NC,27835,0
,Guilford County Sheriff's Office,Greensboro,NC,27402,0
,High Point Police Department,High Point,NC,27260,0
,North Carolina Division of State Parks & Recreation,Raleigh,NC,27699,0
,North Carolina DMV Enforcement,Raleigh,NC,27697,0
,North Carolina State Bureau of Investigation,Raleigh,NC,27626,0
,North Carolina State Highway Patrol,Raleigh,NC,27611,0
,North Carolina Wildlife Resources Commission,Raleigh,NC,27699,0
,Orange County Sheriff's Office,Hillsborough,NC,27278,0
,Pitt County Sheriff's Office,Greenville,NC,27835,0
,Pittsylvania County Sheriff's Office,Chatham,VA,24531,0
,Raleigh Police Department,Raleigh,NC,27602,0
,Randolph County Sheriff's Office,Asheboro,NC,27205,0
,Rocky Mount Police Department,Rocky Mount,NC,27802,0
,Wake County Sheriff's Office,Raleigh,NC,27602,0
,Wilson Police Department,Wilson,NC,27894,0
Franklin County Sheriff's Office Count,,,,,27
Grant Parish Sheriff's Office,Alexandria Police Department,Alexandria,LA,71301,0
,Avoyelles Parish Sheriff's Office,Marksville,LA,71351,0
,Bossier City Police Dept,Bossier City,LA,71171,0
,Caddo Parish Sheriff's Office,Shreveport,LA,71101,0
,Calcasieu Parish Sheriff's Office,Lake Charles,LA,70602,0
,Concordia Parish Sheriff's Office,Vidalia,LA,71373,0
,Lafayette Parish Sheriff's Office,Lafayette,LA,70501,0
,Lafayette Police Department,Lafayette,LA,70502,0
,Lake Charles Police Department,Lake Charles,LA,70602,0
,Monroe Police Department,Monroe,LA,71210,0
,Ouachita Parish Sheriff's Office,Monroe,LA,71201,0
,Rapides Parish Sheriff's Office,Alexandria,LA,71309,0
,Richland Parish Sheriff's Office,Rayville,LA,71269,0
,Shreveport Police Department,Shreveport,LA,71101,0
Grant Parish Sheriff's Office Count,,,,,14
Hagerstown Police Department,Alexandria (City) Sheriff's Office,Alexandria,VA,22314,0
,Alexandria Police Department,Alexandria,VA,22314,0
,Annapolis Police Department,Annapolis,MD,21401,0
,Anne Arundel County Police Department,Millersville,MD,21108,0
,Arlington County Police Department,Arlington,VA,22201,0
,Arlington County Sheriff's Office,Arlington,VA,22201,0
,Baltimore City School Police Dept.,Baltimore,MD,21202,0
,Baltimore County Police Department,Towson,MD,21286,0
,Baltimore Police Department,Baltimore,MD,21211,0
