company,agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips,Full_Address,Latitude,Longitude
Berkeley County Sheriff's Office,Dorchester County Sheriff's Office,Sheriff's office,111, , , , , ,100 Sears St, , ,Saint George,SC,Dorchester,29477, , , , ,45035,"100 Sears St, Saint George, SC 29477",33.1851668,-80.5781933
Berkeley County Sheriff's Office,Florence Police Department,Local police department,109, , , , , ,8100 Ewing Blvd., , ,Florence,SC,Florence,29501, , , , ,45041,"8100 Ewing Blvd., Florence, SC 29501",34.1954331,-79.7625625
Berkeley County Sheriff's Office,Sumter Police Department,Local police department,107, , , , , ,107 E. Hampton Ave., , ,Sumter,SC,Sumter,29150, , , , ,45085,"107 E. Hampton Ave., Sumter, SC 29150",33.9219028,-80.3392963
Berkeley County Sheriff's Office,South Carolina State Transport Police,Special jurisdiction,103, , , , , ,10311 Wilson Blvd, , ,Blythewood,SC,Richland,29016, , , , ,45079,"10311 Wilson Blvd, Blythewood, SC 29016",34.1782945,-80.97378959999999
Berkeley County Sheriff's Office,Orangeburg County Sheriff's Office,Sheriff's office,92, , , , , ,1520 Ellis Ave, , ,Orangeburg,SC,Orangeburg,29118, , , , ,45075,"1520 Ellis Ave, Orangeburg, SC 29118",33.5116619,-80.8521655
Berkeley County Sheriff's Office,"South Carolina Parks, Recreation & Tourism",Special jurisdiction,86, , , , , ,1205 Pendleton Street, , ,Columbia,SC,Richland,29201, , , , ,45079,"1205 Pendleton Street, Columbia, SC 29201",33.9990275,-81.03169729999999
Berkeley County Sheriff's Office,Summerville Police Department,Local police department,80, , , , , ,300 West 2Nd North Street, , ,Summerville,SC,Dorchester,29483, , , , ,45035,"300 West 2Nd North Street, Summerville, SC 29483",33.0239054,-80.1759103
Berkeley County Sheriff's Office,Georgetown County Sheriff's Office,Sheriff's office,78, , , , , ,Po Box 1292,430 N Fraser St, ,Georgetown,SC,Georgetown,29442, , , , ,45043,"Po Box 1292, Georgetown, SC 29442",33.38,-79.28999999999999
Berkeley County Sheriff's Office,Orangeburg Public Safety,Local police department,72, , , , , ,Po Box 1425, , ,Orangeburg,SC,Orangeburg,29116, , , , ,45075,"Po Box 1425, Orangeburg, SC 29116",33.4899724,-80.85997619999999
Berkeley County Sheriff's Office,North Myrtle Beach Public Safety,Local police department,72, , , , , ,1015 2Nd Avenue South, , ,N. Myrtle Beach,SC,Horry,29582, , , , ,45051,"1015 2Nd Avenue South, N. Myrtle Beach, SC 29582",33.8277319,-78.6853687
Berkeley County Sheriff's Office,South Carolina Bureau of Protective Services,Special jurisdiction,67, , , , , ,P.O. Box 1993, , ,Blythewood,SC,Richland,29016, , , , ,45079,"P.O. Box 1993, Blythewood, SC 29016",34.2143159,-80.97397699999999
Berkeley County Sheriff's Office,Darlington County Sheriff's Office,Sheriff's office,64, , , , , ,Po Box 783, , ,Darlington,SC,Darlington,29540, , , , ,45031,"Po Box 783, Darlington, SC 29540",34.3003526,-79.8757116
Berkeley County Sheriff's Office,Colleton County Sheriff's Office,Sheriff's office,63, , , , , ,112 Miller St, , ,Walterboro,SC,Colleton,29488, , , , ,45029,"112 Miller St, Walterboro, SC 29488",32.901075,-80.659868
Berkeley County Sheriff's Office,Medical University of South Carolina Public Safety,Special jurisdiction,62, , , , , ,Po Box 250859, , ,Charleston,SC,Charleston,29425, , , , ,45019,"Po Box 250859, Charleston, SC 29425",32.785895,-79.94794960000002
Berkeley County Sheriff's Office,Kershaw County Sheriff's Office,Sheriff's office,61, , , , , ,PO Box 70, , ,Lugoff,SC,Kershaw,29078, , , , ,45055,"PO Box 70, Lugoff, SC 29078",34.2273712,-80.6892486
Berkeley County Sheriff's Office,Goose Creek Police Department,Local police department,59, , , , , ,Po Drawer 1768, , ,Goose Creek,SC,Berkeley,29445, , , , ,45015,"Po Drawer 1768, Goose Creek, SC 29445",33.0026132,-79.99759159999999
