agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips,Full_Address,Latitude,Longitude
San Antonio Park Rangers,Special jurisdiction,112, , , , , ,600 Hemisfair Park  No. 337, , ,San Antonio,TX,Bexar,78205, , , , ,48029,"600 Hemisfair Park  No. 337, San Antonio, TX 78205",29.41902109999999,-98.48563449999999
College Station Police Department,Local police department,112, , , , , ,2611 Texas Avenue, , ,College Station,TX,Brazos,77842, , , , ,48041,"2611 Texas Avenue, College Station, TX 77842",30.6041055,-96.3028112
Kingsport Police Department,Local police department,111, , , , , ,200 Shelby St., , ,Kingsport,TN,Sullivan,37660, , , , ,47163,"200 Shelby St., Kingsport, TN 37660",36.5477075,-82.56176649999999
Dorchester County Sheriff's Office,Sheriff's office,111, , , , , ,100 Sears St, , ,Saint George,SC,Dorchester,29477, , , , ,45035,"100 Sears St, Saint George, SC 29477",33.1851668,-80.5781933
Edinburg Police Department,Local police department,110, , , , , ,100 E. Freddy Gonzalez Drive,1702 S. CLOSNER BLVD, ,Edinburg,TX,Hidalgo,78539, , , , ,48215,"100 E. Freddy Gonzalez Drive, Edinburg, TX 78539",26.2862029,-98.16465749999999
Calvert County Sheriff's Office,Sheriff's office,110, , , , , ,30 Church St, , ,Prince Frederick,MD,Calvert,20678, , , , ,24009,"30 Church St, Prince Frederick, MD 20678",38.5385752,-76.5876715
North Richland Hills Police Department,Local police department,109, , , , , ,7301 Northeast Loop 820, , ,North Richland Hills,TX,Tarrant,76180, , , , ,48439,"7301 Northeast Loop 820, North Richland Hills, TX 76180",32.8383749,-97.2253897
Florence Police Department,Local police department,109, , , , , ,8100 Ewing Blvd., , ,Florence,SC,Florence,29501, , , , ,45041,"8100 Ewing Blvd., Florence, SC 29501",34.1954331,-79.7625625
North Carolina Alcohol Law Enforcement,Special jurisdiction,108, , , , , ,4704 Mail Service Ctr., , ,Raleigh,NC,Wake,27699, , , , ,37183,"4704 Mail Service Ctr., Raleigh, NC 27699",35.67,-78.66
Ocean City Police Department,Local police department,107, , , , , ,6501 Coastal Highway, , ,Ocean City,MD,Worcester,21842, , , , ,24047,"6501 Coastal Highway, Ocean City, MD 21842",38.3885874,-75.0688914
