company,agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips,Full_Address,Latitude,Longitude
Berkeley County Sheriff's Office,South Carolina Highway Patrol,Primary state law enforcement agency,967, , , , , ,10311 Wilson Blvd, , ,Blythewood,SC,Richland,29016, , , , ,45079,"10311 Wilson Blvd, Blythewood, SC 29016",34.1782945,-80.97378959999999
Berkeley County Sheriff's Office,Richland County Sheriff's Office,Sheriff's office,512, , , , , ,211 W Market St, , ,Columbia,SC,Richland,29223, , , , ,45079,"211 W Market St, Columbia, SC 29223",34.1058378,-80.92077370000001
Berkeley County Sheriff's Office,Charleston Police Department,Local police department,382, , , , , ,Post Office Box 420, , ,Charleston,SC,Charleston,29403, , , , ,45019,"Post Office Box 420, Charleston, SC 29403",32.8007242,-79.9500477
Berkeley County Sheriff's Office,Columbia Police Department,Local police department,351, , , , , ,Po Box 10, , ,Columbia,SC,Richland,29201, , , , ,45079,"Po Box 10, Columbia, SC 29201",33.9873389,-81.0368211
Berkeley County Sheriff's Office,South Carolina Law Enforcement Division,Special jurisdiction,344, , , , , ,Po Box 21398, , ,Columbia,SC,Richland,29221, , , , ,45079,"Po Box 21398, Columbia, SC 29221",34.0008322,-81.035147
Berkeley County Sheriff's Office,North Charleston Police Department,Local police department,325, , , , , ,Po Box 62558, , ,North Charleston,SC,Charleston,29419, , , , ,45019,"Po Box 62558, North Charleston, SC 29419",32.8769132,-80.01138689999999
Berkeley County Sheriff's Office,Charleston County Sheriff's Office,Sheriff's office,259, , , , , ,3505 Pinehaven Dr, , ,Charleston,SC,Charleston,29405, , , , ,45019,"3505 Pinehaven Dr, Charleston, SC 29405",32.8560597,-79.97997409999999
Berkeley County Sheriff's Office,Lexington County Sheriff's Office,Sheriff's office,249, , , , , ,Po Box 639, , ,Lexington,SC,Lexington,29071, , , , ,45063,"Po Box 639, Lexington, SC 29071",33.9799999,-81.24
Berkeley County Sheriff's Office,Horry County Police Department,Local police department,243, , , , , ,"2560 N. Main Street, Suite 7", , ,Conway,SC,Horry,29526, , , , ,45051,"2560 N. Main Street, Suite 7, Conway, SC 29526",33.8643407,-79.0532727
Berkeley County Sheriff's Office,South Carolina Department of Natural Resources,Special jurisdiction,238, , , , , ,Po Box 167, , ,Columbia,SC,Richland,29202, , , , ,45079,"Po Box 167, Columbia, SC 29202",34.0,-81.03999999999999
Berkeley County Sheriff's Office,Beaufort County Sheriff's Office,Sheriff's office,209, , , , , ,2001 Duke St,PO Box 1758, ,Beaufort,SC,Beaufort,29902, , , , ,45013,"2001 Duke St, Beaufort, SC 29902",32.4364985,-80.686221
Berkeley County Sheriff's Office,Florence County Sheriff's Office,Sheriff's office,192, , , , , ,Po Box 678, , ,Effingham,SC,Florence,29541, , , , ,45041,"Po Box 678, Effingham, SC 29541",34.0575712,-79.75341159999999
Berkeley County Sheriff's Office,Myrtle Beach Police Department,Local police department,179, , , , , ,1101 Oak Street, , ,Myrtle Beach,SC,Horry,29577, , , , ,45051,"1101 Oak Street, Myrtle Beach, SC 29577",33.6977914,-78.88203969999999
Berkeley County Sheriff's Office,Mount Pleasant Police Department,Local police department,137, , , , , ,P.O. Box 426, , ,Mount Pleasant,SC,Charleston,29464, , , , ,45019,"P.O. Box 426, Mount Pleasant, SC 29464",32.8234848,-79.8520818
Berkeley County Sheriff's Office,Berkeley County Sheriff's Office,Sheriff's office,134, , , , , ,223 N Live Oak Dr, , ,Moncks Corner,SC,Berkeley,29461, , , , ,45015,"223 N Live Oak Dr, Moncks Corner, SC 29461",33.2002712,-80.0063369
Berkeley County Sheriff's Office,Sumter County Sheriff's Office,Sheriff's office,118, , , , , ,107 E Hampton Ave, , ,Sumter,SC,Sumter,29150, , , , ,45085,"107 E Hampton Ave, Sumter, SC 29150",33.9219028,-80.3392963
Franklin County Sheriff's Office,North Carolina State Highway Patrol,Primary state law enforcement agency,1827, , , , , ,Archdale Building, , ,Raleigh,NC,Wake,27611, , , , ,37183,"Archdale Building, Raleigh, NC 27611",35.7868535,-78.63875929999999
Franklin County Sheriff's Office,Raleigh Police Department,Local police department,702, , , , , ,Po Box 590, , ,Raleigh,NC,Wake,27602, , , , ,37183,"Po Box 590, Raleigh, NC 27602",35.7756018,-78.64039869999999
Franklin County Sheriff's Office,Greensboro Police Department,Local police department,593, , , , , ,1101 Main Street, , ,Greensboro,NC,Guilford,27402, , , , ,37081,"1101 Main Street, Greensboro, NC 27402",36.07,-79.95
Franklin County Sheriff's Office,Durham Police Department,Local police department,494, , , , , ,86 Dover Road, , ,Durham,NC,Durham,27701, , , , ,37063,"86 Dover Road, Durham, NC 27701",35.9510198,-78.9518477
Franklin County Sheriff's Office,North Carolina State Bureau of Investigation,Special jurisdiction,367, , , , , ,Po Box 29500, , ,Raleigh,NC,Wake,27626, , , , ,37183,"Po Box 29500, Raleigh, NC 27626",35.77,-78.64
Franklin County Sheriff's Office,Wake County Sheriff's Office,Sheriff's office,354, , , , , ,Po Box 550, , ,Raleigh,NC,Wake,27602, , , , ,37183,"Po Box 550, Raleigh, NC 27602",35.7756018,-78.64039869999999
Franklin County Sheriff's Office,Fayetteville Police Department,Local police department,341, , , , , ,308 West Market Street, , ,Fayetteville,NC,Cumberland,28301, , , , ,37051,"308 West Market Street, Fayetteville, NC 28301",35.06375209999999,-78.8722341
Franklin County Sheriff's Office,Cumberland County Sheriff's Office,Sheriff's office,300, , , , , ,Po Box 56,166 Courthouse Square, ,Fayetteville,NC,Cumberland,28301, , , , ,37051,"Po Box 56, Fayetteville, NC 28301",35.06375209999999,-78.8722341
Franklin County Sheriff's Office,Guilford County Sheriff's Office,Sheriff's office,240, , , , , ,Po Box 3427, , ,Greensboro,NC,Guilford,27402, , , , ,37081,"Po Box 3427, Greensboro, NC 27402",35.9670631,-79.7722673
Franklin County Sheriff's Office,High Point Police Department,Local police department,225, , , , , ,1009 Leonard Ave., , ,High Point,NC,Guilford,27260, , , , ,37081,"1009 Leonard Ave., High Point, NC 27260",35.9598143,-79.9933851
Franklin County Sheriff's Office,North Carolina Wildlife Resources Commission,Special jurisdiction,209, , , , , ,1717 Msc, , ,Raleigh,NC,Wake,27699, , , , ,37183,"1717 Msc, Raleigh, NC 27699",35.67,-78.66
Franklin County Sheriff's Office,North Carolina DMV Enforcement,Special jurisdiction,197, , , , , ,1100 New Bern Ave., , ,Raleigh,NC,Wake,27697, , , , ,37183,"1100 New Bern Ave., Raleigh, NC 27697",35.7785584,-78.6225844
Franklin County Sheriff's Office,North Carolina Division of State Parks & Recreation,Special jurisdiction,185, , , , , ,1615 Msc, , ,Raleigh,NC,Wake,27699, , , , ,37183,"1615 Msc, Raleigh, NC 27699",35.67,-78.66
Franklin County Sheriff's Office,Greenville Police Department,Local police department,175, , , , , ,Po Box 1109, , ,Greenville,NC,Pitt,27835, , , , ,37147,"Po Box 1109, Greenville, NC 27835",35.61,-77.36999999999999
Franklin County Sheriff's Office,Durham County Sheriff's Office,Sheriff's office,168, , , , , ,Po Box 170, , ,Durham,NC,Durham,27702, , , , ,37063,"Po Box 170, Durham, NC 27702",35.98999999999999,-78.89999999999999
Franklin County Sheriff's Office,Cary Police Department,Local police department,162, , , , , ,Po Box 8005, , ,Cary,NC,Wake,27512, , , , ,37183,"Po Box 8005, Cary, NC 27512",35.76,-78.78999999999999
Franklin County Sheriff's Office,Randolph County Sheriff's Office,Sheriff's office,161, , , , , ,372 Highway Jj, , ,Asheboro,NC,Randolph,27205, , , , ,37151,"372 Highway Jj, Asheboro, NC 27205",35.68935099999999,-79.8119372
Franklin County Sheriff's Office,Rocky Mount Police Department,Local police department,143, , , , , ,Po Box 1180, , ,Rocky Mount,NC,Nash,27802, , , , ,37127,"Po Box 1180, Rocky Mount, NC 27802",35.9628234,-77.8529159
Franklin County Sheriff's Office,Alamance County Sheriff's Office,Sheriff's office,136, , , , , ,109 S Maple St, , ,Graham,NC,Alamance,27253, , , , ,37001,"109 S Maple St, Graham, NC 27253",36.0684415,-79.4034501
Franklin County Sheriff's Office,Pitt County Sheriff's Office,Sheriff's office,125, , , , , ,Po Box 528, , ,Greenville,NC,Pitt,27835, , , , ,37147,"Po Box 528, Greenville, NC 27835",35.61,-77.36999999999999
Franklin County Sheriff's Office,Orange County Sheriff's Office,Sheriff's office,115, , , , , ,Po Box 1468, , ,Hillsborough,NC,Orange,27278, , , , ,37135,"Po Box 1468, Hillsborough, NC 27278",36.0754183,-79.0997347
Franklin County Sheriff's Office,Wilson Police Department,Local police department,114, , , , , ,Po Box 454, , ,Wilson,NC,Wilson,27894, , , , ,37195,"Po Box 454, Wilson, NC 27894",35.72,-77.92
Franklin County Sheriff's Office,Chapel Hill Police Department,Local police department,112, , , , , ,P.O. Box 157, , ,Chapel Hill,NC,Orange,27514, , , , ,37135,"P.O. Box 157, Chapel Hill, NC 27514",35.9722081,-79.04755589999999
Grant Parish Sheriff's Office,Calcasieu Parish Sheriff's Office,Sheriff's office,592, , , , , ,Po Box 3722,5400 E Broad St, ,Lake Charles,LA,Calcasieu,70602, , , , ,22019,"Po Box 3722, Lake Charles, LA 70602",30.2268519,-93.2132614
