agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips,Full_Address,Latitude,Longitude
New York City Police Department,Local police department,36023, , , , , ,"One Police Plaza, Room 1400", , ,New York,NY,New York,10038, , , , ,36061,"One Police Plaza, Room 1400, New York, NY 10038",40.71206189999999,-74.0023853
Chicago Police Dept,Local police department,13354, , , , , ,3510 S Michigan, , ,Chicago,IL,Cook,60653, , , , ,17031,"3510 S Michigan, Chicago, IL 60653",41.8302264,-87.62380809999999
Los Angeles Police Department,Local police department,9727, , , , , ,150 N. Los Angeles Street, , ,Los Angeles,CA,Los Angeles,90012, , , , ,6037,"150 N. Los Angeles Street, Los Angeles, CA 90012",34.051507,-118.241245
Los Angeles County Sheriff's Office,Sheriff's office,9461, , , , , ,Unit 1,4700 W. Ramona Blvd., ,Monterey Park,CA,Los Angeles,91754, , , , ,6037,"Unit 1, Monterey Park, CA 91754",34.0472318,-118.1415261
California Highway Patrol,Primary state law enforcement agency,7202, , , , , ,2555 First Ave, , ,Sacramento,CA,Sacramento,95818, , , , ,6067,"2555 First Ave, Sacramento, CA 95818",38.55623509999999,-121.4796074
Philadelphia Police Department,Local police department,6624, , , , , ,523 Main Street, , ,Philadelphia,PA,Philadelphia,19136, , , , ,42101,"523 Main Street, Philadelphia, PA 19136",39.9183989,-75.2584046
Cook County Sheriff's Office,Sheriff's office,5655, , , , , ,143 Gunflint Trail, , ,Chicago,IL,Cook,60602, , , , ,17031,"143 Gunflint Trail, Chicago, IL 60602",41.8781136,-87.6297982
Houston Police Department,Local police department,5053, , , , , ,17000 Aldine Westfield, , ,Houston,TX,Harris,77073, , , , ,48201,"17000 Aldine Westfield, Houston, TX 77073",29.9668297,-95.36216350000001
New York State Police,Primary state law enforcement agency,4847, , , , , ,Building 22,1220 Washington Avenue, ,Albany,NY,Albany,12226, , , , ,36001,"Building 22, Albany, NY 12226",42.6820502,-73.8088221
Pennsylvania State Police,Primary state law enforcement agency,4458, , , , , ,1800 Elmerton Ave, , ,Harrisburg,PA,Dauphin,17110, , , , ,42043,"1800 Elmerton Ave, Harrisburg, PA 17110",40.2975963,-76.8601869
Washington Metropolitan Police Department,Local police department,3742, , , , , ,300 Indiana Avenue NW, , ,Washington,DC,District of Columbia,20001, , , , ,11001,"300 Indiana Avenue NW, Washington, DC 20001",38.8941731,-77.0165485
Texas Department of Public Safety,Primary state law enforcement agency,3529, , , , , ,"Attn: Cindy Torres, Hr",P O Box 4087, ,Austin,TX,Travis,78773, , , , ,48453,"Attn: Cindy Torres, Hr, Austin, TX 78773",30.32999999999999,-97.69999999999999
Dallas Police Department,Local police department,3389, , , , , ,131 N. Gaston Avenue, , ,Dallas,TX,Dallas,75215, , , , ,48113,"131 N. Gaston Avenue, Dallas, TX 75215",32.8044938,-96.7641
Phoenix Police Department,Local police department,3388, , , , , ,Po Box 330, , ,Phoenix,AZ,Maricopa,85003, , , , ,4013,"Po Box 330, Phoenix, AZ 85003",33.4495511,-112.0789355
Miami-Dade (County) Police Department,Local police department,3093, , , , , ,9105 N.W. 25Th Street, , ,Miami,FL,Miami-Dade,33172, , , , ,12086,"9105 N.W. 25Th Street, Miami, FL 33172",25.7984045,-80.34402589999999
New Jersey State Police,Primary state law enforcement agency,3053, , , , , ,P.O. Box 7068; River Road, , ,West Trenton,NJ,Mercer,8628, , , , ,34021,"P.O. Box 7068; River Road, West Trenton, NJ 8628",40.4080369,-75.0418771
Baltimore Police Department,Local police department,2990, , , , , ,416 West Market Street, , ,Baltimore,MD,Baltimore City,21211, , , , ,24510,"416 West Market Street, Baltimore, MD 21211",39.3289463,-76.63838319999999
Las Vegas Metro Police Department,Local police department,2942, , , , , ,3141 Sunrise Ave, , ,Las Vegas,NV,Clark,89101, , , , ,32003,"3141 Sunrise Ave, Las Vegas, NV 89101",36.161741,-115.103705
Nassau County Police Department,Local police department,2732, , , , , ,1490 Franklin Avenue, , ,Mineola,NY,Nassau,11501, , , , ,36059,"1490 Franklin Avenue, Mineola, NY 11501",40.7367215,-73.6393666
Suffolk County Police Department,Local police department,2622, , , , , ,30 Yaphank Avenue, , ,Yaphank,NY,Suffolk,11980, , , , ,36103,"30 Yaphank Avenue, Yaphank, NY 11980",40.8207487,-72.91811129999999
Harris County Sheriff's Office,Sheriff's office,2558, , , , , ,1200 Baker St, , ,Houston,TX,Harris,77002, , , , ,48201,"1200 Baker St, Houston, TX 77002",29.7633996,-95.3565019
Massachusetts State Police,Primary state law enforcement agency,2310, , , , , ,470 Worcester Rd, , ,Framingham,MA,Middlesex,1701, , , , ,25017,"470 Worcester Rd, Framingham, MA 1701",42.2958082,-71.414973
